username,age,gender,text,avatar_url
gotfyn84.bsky.social,50,Man,It’s a real problem. Sometimes beauty comes with consequences.,https://cdn.bsky.app/img/avatar/plain/did:plc:pyt6mag5r6arx5hgavnur3ce/bafkreigo6ars55aymjixai6wgz6mda3oejs2tbiresbz435xdloxhprtcq@jpeg
scribblerca82.bsky.social,62,Woman,"I agree.  He is anything but masculine.  It’s just that he was on tv and some people are impressed by that.  However they don’t know the real story behind that, about how he didn’t choose who was fired.  Just a figurehead.",https://cdn.bsky.app/img/avatar/plain/did:plc:hay5mtbfy2y5cdxyw6viiwww/bafkreigmehra64f3c6wtj2y7zydwxksppavy3eejz65ierbqrkmcef3xu4@jpeg
micahwarren.bsky.social,51,Man,"When does he announce ""Santa's not Real anyway, folks. He's FAKE. He's a fake Santa. I've been the one delivering the toys all along, kids! Santa ain't coming this year! He actually never came because he's fake. NOT REAL! SLEEP TIGHT!""",https://cdn.bsky.app/img/avatar/plain/did:plc:jqdymkhdkerhyjha54u62uj5/bafkreiev2iy6v3n66yr6hvxowxnljyyy7iteomgw5pekhapwazg6vdvo2m@jpeg
condimentgrrl.bsky.social,48,Woman,"Here late, recorded to see #LinManuelMiranda’s Intro and Outro. In FOSSE/VERDON, it’s shown that Fosse took this bit from a real moment with his daughter. And didn’t cast his daughter AS Joe’s daughter. #TCMParty #AllThatJazz",https://cdn.bsky.app/img/avatar/plain/did:plc:tpn36ar7dtbh4uznwhrhu5m6/bafkreihuc427w64zej26iak4u5wgo2avhbx3iuthjfmgidbik2jj6a65bi@jpeg
toonlake.bsky.social,46,Man,"I’d probably have taken the vampire juice. I think I could be trusted to ethically redistribute blood. And I already burn in the sun real easy, so there’s no real downside for me.",https://cdn.bsky.app/img/avatar/plain/did:plc:vr467johtpw5ocpwqy2gwjzl/bafkreibbvororvcghdkhlxdiy3h43zfjoadzjgq6cfqs3a4wrkbrn7fywu@jpeg
ivychat.bsky.social,52,Man,No hunch in real life like he played in 1994.,https://cdn.bsky.app/img/avatar/plain/did:plc:ntxzivbkm3n3r6gwm2xsl4av/bafkreif76o5ejoijvukrlc2ms2z5pm66mo425btxjj2ipxdyvecifmllgu@jpeg
happyme2025.bsky.social,50,Man,"We all should be concerned: Elon Musk’s #Neuralink just got FDA ‘Breakthrough’ status for brain implants—yet no peer-reviewed data, no public trial results, and zero transparency on patient outcomes. Real oversight shouldn’t be optional when the tech goes inside your skull.",https://cdn.bsky.app/img/avatar/plain/did:plc:ftdm6rayirgyqmuh2dx7h5y5/bafkreic4x5aogdppgaj4cogyb67fa7j7xa4c23wvxv6zvfid6yoriscypa@jpeg
whirligigsaw.bsky.social,45,Man,"the answer is caleb but How He Is may strike the closest to Real in his toxicity so uh content warning

that said theyre all little freaks in their own way",https://cdn.bsky.app/img/avatar/plain/did:plc:tbgm3oe5gvnx6yrizbuk3qwz/bafkreif3cjpptan2j2j4dr7bqorch5egntlzxxztixk4mvy7n46lnqvr4a@jpeg
sea-manders.bsky.social,47,Woman,Frost punched their ticket today and I was real worried they wouldn't get an opportunity to repeat. Was glad to be proven wrong!,https://cdn.bsky.app/img/avatar/plain/did:plc:lh4zxncknisvw5wkpzje7j63/bafkreich7zx3mfeg23ksmzjqzxjcux22hdd6q5rkxkmfhlgp52grzrcbpq@jpeg
bluedolomieu.bsky.social,46,Man,"RFK, jr is looking for new measles vaccine alternatives just like OJ is looking for the real killer",https://cdn.bsky.app/img/avatar/plain/did:plc:6wc56ad3ypswina6g5k3lhbx/bafkreieen5f5oxg4rdb5mlc6sipl3o6tbrdv7vkz34ccpciw22l6arjqpy@jpeg
eliolappi.bsky.social,49,Woman,"them: sexy grinch isn't real, it can't hurt you
sexy grinch:",https://cdn.bsky.app/img/avatar/plain/did:plc:cj4w42hle2os4x5fepzzexht/bafkreibuwzlvpw45ls447e3dpb65gqmf3p46nqwmynw3doueut7pkljupi@jpeg
denouemen.bsky.social,63,Man,He's the real deal. Bless him and everyone who loves him.,https://cdn.bsky.app/img/avatar/plain/did:plc:qbv6f3n2otwsvjc2upmfbf3x/bafkreifehpf6f2ikvav7yat6by2qza2qkqwfa4inzq4rkmltulnaq4i2z4@jpeg
coachjeff629.bsky.social,48,Man,Went to my grandson's game. The wind was blowing and it was chilly! He turns 6 on Wednesday. I can't wait til it's real baseball. Machine pitch and the ball.,https://cdn.bsky.app/img/avatar/plain/did:plc:wywonf455xyfzpeq2mmpysjc/bafkreid5xbjagjhmyan7cqsdeij55xir35kdpmnmuyjangp3o5pirdktri@jpeg
trem2303.bsky.social,47,Man,I think it’s kind of hilarious that it took this orange shit stain to make you realize the general population of this country is fucking terrible. Work at a restaurant for 6 months and you’ll figure this out real quick,https://cdn.bsky.app/img/avatar/plain/did:plc:7fxv7rriimdz6zrvfr5mwvlz/bafkreig4vwafmtd2tutmzmfg4zvwnhwz4z63h3ku2yzhab7yelwbixkyau@jpeg
snackyd.bsky.social,49,Man,"That was bad. Real, real bad. So many mistakes on that goal and, now, a bigger hill to climb. 2-0 to San Jose. #SJvPOR",https://cdn.bsky.app/img/avatar/plain/did:plc:r6jyitc7kbknt57kf7eayjrp/bafkreib25h2chtyewbv7tcjkdox6ljvcx5gy6672tvxcpssf62du4w4h4i@jpeg
commsdirector.bsky.social,48,Man,The real administrator of DOGE is the friends we made along the way.,https://cdn.bsky.app/img/avatar/plain/did:plc:plrc6z3euzykcbt3qji52dvi/bafkreicvm6zbfdwrdje3r6qkhfmrf4zcocfko3ld7y7xou7t656mry3a5a@jpeg
jmbossert1.bsky.social,46,Man,Hopefully the midterms should provide some real relief.,https://cdn.bsky.app/img/avatar/plain/did:plc:bzpad34vu35cvxdusrjgh3yz/bafkreicsjlz4n5pdvsfn3p7mk4i2eusdevsvw3hahwlcut2hlifz5iwd64@jpeg
suthunman1.bsky.social,65,Man,"This is why we needed Kamala in the White House, yet, DJT just purchased what he wanted. Damn good for President Sheinbaum, let him stew as a real power turns her nose up !!!

Now, ladies of America, it’s time all of you took hold and power, we men have f****d up this world for way too long !!!",https://cdn.bsky.app/img/avatar/plain/did:plc:c7r6xa7bslmxclfotmpyur7w/bafkreicqeghtpvou5x7qrpstkoo3vxvqpodb3wfit7irv57jvrrt5fh52u@jpeg
pellapellasekai.bsky.social,46,Man,I  cant get into my shantae brainrot this quickly rn ... uaah its too soon but i played a bit and its good and the new tracks r sublime <3 thank you maddie lim real,https://cdn.bsky.app/img/avatar/plain/did:plc:q23kw6pfnyhs25qtmmkzikrn/bafkreigtslibzawyx3yrmhbxlz7y3y2nc4agrtgytuhhqy2v3d3dtasfzq@jpeg
sarandavasnormandy.bsky.social,47,Man,"Tavara's real parents neglected her. Bhaal was the only family she felt ""loved"" her for most of her life. And even that love turned out false. Family is a weird and complicated thing for her. So, no, she doesn't love her parents",https://cdn.bsky.app/img/avatar/plain/did:plc:rworuqlfjh7ldite4qyq2zud/bafkreie2offzfpjofdor5dzv5vysejnk3rfuk5bwp6jgy7ueahboj7six4@jpeg
edusacer.bsky.social,46,Man,"A estrutura, cenários, banda foi tudo muito foda real bicho e bad romance terminou num super high note… #LadyGagaNaGlô",https://cdn.bsky.app/img/avatar/plain/did:plc:t6q73fw5mpn2w5jbrfog6ch5/bafkreicac57zblk4apydfbctwtssinagj2gbs56xzdqzmzohrayfjsjjxe@jpeg
theophite.bsky.social,46,Man,guess the guy who is the comms director for the pedophile advocacy organization has found the one potential excuse for pedophilia he won't advocate for: the only real one,https://cdn.bsky.app/img/avatar/plain/did:plc:ptwfknk5mn2c7mwpvjrfnoay/bafkreidszqqippnfaf4bubbj2z3csxz4mqdwshcfo25nsgy6wb43uxdye4@jpeg
lohplaces.bsky.social,45,Man,Hard agree that the real test is your immunity to social expectations and not actual costs of 👶. While standards for parents are insane now I remind myself a skimpy majority of mothers worked in 1980 and now it’s the norm if an impossible one. Still progress.,https://cdn.bsky.app/img/avatar/plain/did:plc:vuvhdvgrzcdniiiiimv4yvn4/bafkreihdv5za5iwe6bu5f73c7kjgcls6snkanuqbraf36ktb7m6mujujvm@jpeg
ghek.bsky.social,46,Man,"I think his relationship with religion has more to do with using it as a tool than anything else. The real fools are the religious leaders backing him.
They’re going to end up destroying Christianity in America with this move.",https://cdn.bsky.app/img/avatar/plain/did:plc:qcr2uibnrwnffup3hb3oag3u/bafkreihqeahteuzdbfkcsuypeaf5qnbap5cqbrfpjg7r2utierphdbeuyy@jpeg
jimaxon66.bsky.social,47,Man,"If Jesus isn't real,

why are vampires
afraid of crosses?",https://cdn.bsky.app/img/avatar/plain/did:plc:ycw4zsnkzaaonaitwm5njbys/bafkreiheajfgecxvvr2cmp4ygn2omq2mtredcjj3mz74gbx7igmp2dveq4@jpeg
